book_id,book_name,book_name_short,testament,chapter,verse,verse_text
MAT,Evangelio Segun Mateo,Mateo,NT,1,1,"Ata lista di e antepasadonan di Hesu-Kristu, desendiente di David i via David desendiente di Abraham."
MAT,Evangelio Segun Mateo,Mateo,NT,1,2,Abraham tabata tata di Isak; Isak di Yakob; Yakob di Huda i di e rumannan di Huda;
MAT,Evangelio Segun Mateo,Mateo,NT,1,3,Huda di Pèrès i Zèrag (nan mama tabata Tamar); Pèrès di Hèsron; Hèsron di Ram;
MAT,Evangelio Segun Mateo,Mateo,NT,1,4,Ram di Aminadab; Aminadab di Nagshon; Nagshon di Salmon;
MAT,Evangelio Segun Mateo,Mateo,NT,1,5,Salmon di Boaz (su mama tabata Rahab); Boaz di Obed (su mama tabata Ruth); Obed di Ishai;
MAT,Evangelio Segun Mateo,Mateo,NT,1,6,Ishai di rei David. David tabata tata di Salomon (su mama tabata kasá di Urías);
MAT,Evangelio Segun Mateo,Mateo,NT,1,7,Salomon di Rehabeam; Rehabeam di Abías; Abías di Asa;
MAT,Evangelio Segun Mateo,Mateo,NT,1,8,Asa di Yoshafat; Yoshafat di Yoram; Yoram di Uzías;
MAT,Evangelio Segun Mateo,Mateo,NT,1,9,Uzías di Yotam; Yotam di Ahas; Ahas di Ezekías;
MAT,Evangelio Segun Mateo,Mateo,NT,1,10,Ezekías di Manase; Manase di Amon; Amon di Yosías;
MAT,Evangelio Segun Mateo,Mateo,NT,1,11,Yosías di Yekonías i su rumannan den tempu ku a deportá e israelitanan pa Babilonia.
MAT,Evangelio Segun Mateo,Mateo,NT,1,12,"Despues di e deportashon pa Babilonia, Yekonías a bira tata di Shealtiel; Shealtiel di Zerubabel;"
MAT,Evangelio Segun Mateo,Mateo,NT,1,13,Zerubabel di Abihud; Abihud di Elyakim; Elyakim di Azor;
MAT,Evangelio Segun Mateo,Mateo,NT,1,14,Azor di Sadok; Sadok di Akim; Akim di Eliud;
MAT,Evangelio Segun Mateo,Mateo,NT,1,15,Eliud di Eleazar; Eleazar di Matan; Matan di Yakob.
MAT,Evangelio Segun Mateo,Mateo,NT,1,16,"Yakob tabata tata di Hosé, kasá di Maria; Maria tabata mama di Hesus, ku nan a yama Mesias."
MAT,Evangelio Segun Mateo,Mateo,NT,1,17,"Ke men ku tabatin dieskuater generashon for di Abraham te na David, dieskuater generashon for di David te na tempu ku nan a deportá e israelitanan pa Babilonia i dieskuater generashon for di e deportashon akí te na nasementu di Mesias."
MAT,Evangelio Segun Mateo,Mateo,NT,1,18,"Nasementu di Hesu-Kristu a bai di e siguiente manera. Maria, mama di Hesus, tabata komprometé ku Hosé, ma a resultá ku el a sali na estado promé ku nan a kasa. Esei a sosodé via di Spiritu Santu."
MAT,Evangelio Segun Mateo,Mateo,NT,1,19,"Komo Hosé tabata un hòmber hustu i e no ker a pone Maria su kara na bèrgwensa, el a plania pa divorsiá di dje ketu ketu."
MAT,Evangelio Segun Mateo,Mateo,NT,1,20,"Miéntras e tabata pensa riba e asuntu akí, un angel di Señor a aparesé n'e den soño i bis'é: ‘Hosé, desendiente di David, no tene miedu pa tuma Maria komo bo kasá, pasobra e yu ku e ta spera ta di Spiritu Santu."
MAT,Evangelio Segun Mateo,Mateo,NT,1,21,"Lo e duna lus na un yu hòmber i lo bo yama e yu “Hesus”, pasobra lo E salba su pueblo for di piká.’"
MAT,Evangelio Segun Mateo,Mateo,NT,1,22,"Tur esaki a sosodé pa e palabranan ku Señor a bisa via di e profeta, keda kumplí:"
MAT,Evangelio Segun Mateo,Mateo,NT,1,23,"‘Mira, un bírgen lo sali na estado i duna lus na un yu hòmber. Lo yam'É “Emanuel”, loke ta nifiká “Dios ku nos”.’"
MAT,Evangelio Segun Mateo,Mateo,NT,1,24,"Ora Hosé a lanta for di soño, el a kasa ku Maria manera e angel di Señor a enkarg'é."
MAT,Evangelio Segun Mateo,Mateo,NT,1,25,E no a tene relashon ku Maria promé ku Maria a duna lus na un yu hòmber i el yama e yu ‘Hesus’.
MAT,Evangelio Segun Mateo,Mateo,NT,2,1,"Hesus a nase na Betlehèm den region di Hudea, tempu Heródes tabata rei. Djis despues algun hòmber sabí di oriente a bini Herusalèm."
MAT,Evangelio Segun Mateo,Mateo,NT,2,2,"E sabionan a puntra: ‘Unda e yu resien nasí, e rei di hudiunan, ta? Nos a mira e strea ku ta anunsiá su nasementu sali i nos a bini pa dun'É homenahe.’"
MAT,Evangelio Segun Mateo,Mateo,NT,2,3,"Ora Heródes a tende loke nan a bisa, el a bira tur aríbabou i tur habitante di Herusalèm tambe."
MAT,Evangelio Segun Mateo,Mateo,NT,2,4,El a yama tur gransaserdote i dòktor di lei hudiu huntu i a puntra nan: ‘Unda e Mesias lo mester a nase?’
MAT,Evangelio Segun Mateo,Mateo,NT,2,5,Nan a kontest'é: ‘Na Betlehèm den region di Hudea. Pasobra esaki ta loke Dios a bisa via di e profeta:
MAT,Evangelio Segun Mateo,Mateo,NT,2,6,"“I abo, Betlehèm den region di Hudea, di ningun manera no ta esun ménos, entre e siudatnan importante di Huda. Pasobra for di bo lo sali un gobernador, ku lo guia mi pueblo Israel komo wardador.” ’"
MAT,Evangelio Segun Mateo,Mateo,NT,2,7,Heródes a yama e sabionan di oriente den sekreto serka dje i a informá den ki tempu presis nan a mira e strea aparesé.
MAT,Evangelio Segun Mateo,Mateo,NT,2,8,Despues el a manda nan Betlehèm i a bisa nan: ‘Investigá eksaktamente unda e mucha ta i ora boso hañ'é laga mi sa ya mi mes tambe por bai dun'é homenahe.’
MAT,Evangelio Segun Mateo,Mateo,NT,2,9,"Despues ku e sabionan a risibí e instrukshonnan akí di rei, nan a bai. Ata nan a bolbe mira e strea ku a aparesé den oriente. El a bai nan dilanti te kaminda e mucha tabata i a keda para riba e lugá ei."
MAT,Evangelio Segun Mateo,Mateo,NT,2,10,"Ora nan a mira e strea, nan a bira sumamente kontentu."
